Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,PA,Training facilities,Div Rep,FCA
D (C),24.33949349760438,14,13,13,1944,7.01,11,12,14,14,7,3500,114,130,11,120,114
D (C),22.64476386036961,18,15,15,2735,7.02,14,18,14,17,8,4500,121,145,17,120,128
ST (C),23.19233401779603,17,14,15,2439,6.88,15,13,14,12,8,4100,110,138,14,104,117
"AM (C), ST (C)",23.88501026694045,9,13,13,3538,7.03,14,11,10,15,9,3200,105,128,13,80,108
D (C),24.33949349760438,13,13,13,2949,6.94,12,12,14,16,12,3700,91,115,10,80,96
M/AM (RC),23.86858316221766,12,13,13,2233,6.67,12,10,13,9,8,2500,100,110,6,130,102
D (C),21.856262833675565,13,13,12,303,6.93,6,10,14,16,12,1100,87,133,9,80,87
M/AM (C),21.713894592744694,17,13,16,2759,6.83,12,17,11,9,7,5050,114,137,12,160,130
"D (C), DM, M (C)",20.39151266255989,8,4,10,1501,6.78,10,10,10,20,3,1450,98,117,6,120,98
D (C),26.633812457221083,12,13,11,3329,6.88,11,11,12,16,15,2350,97,105,8,87,97
ST (C),19.479808350444902,10,11,12,0,0.0,8,11,9,8,5,850,79,109,16,173,80
ST (C),33.24845995893224,14,14,14,479,6.3,13,14,13,13,8,4000,115,125,9,130,107
"DM, M (C)",28.553045859000683,14,13,5,2089,6.8,8,8,10,7,4,1000,76,90,12,86,76
ST (C),30.95687885010267,15,14,12,2639,7.43,14,18,15,16,3,6750,148,156,16,158,148
D (RC),23.41409993155373,13,15,12,2488,6.69,13,12,12,13,3,2500,105,120,6,130,105
ST (C),27.641341546885695,15,13,14,183,6.72,10,14,12,12,12,3600,112,119,13,158,111
"AM (RL), ST (C)",20.917180013689254,15,15,15,1009,6.88,13,13,13,14,9,2350,107,140,12,147,109
ST (C),33.98220396988364,11,2,13,2332,7.12,8,9,10,16,8,1250,80,85,5,66,68
"AM (RC), ST (C)",20.648870636550306,10,5,13,290,6.6,8,9,16,14,10,850,101,106,12,96,101
"DM, M (C)",34.34907597535934,15,15,13,3060,6.81,9,13,14,13,7,5050,127,130,16,173,118
D (C),33.99315537303217,14,15,14,192,7.0,13,12,10,15,12,6300,128,153,17,161,117
D (C),34.17659137577002,15,18,17,3641,6.94,13,15,14,15,8,6000,130,150,14,130,127
ST (C),31.94798083504449,13,16,13,3946,7.15,12,10,14,11,7,6000,137,142,15,178,137
"DM, M (C)",35.1047227926078,16,17,14,1795,6.64,14,16,15,18,13,4650,115,130,10,120,105
"M/AM (C), ST (C)",32.03832991101985,16,13,15,2511,6.89,16,12,13,10,9,6000,143,152,18,173,139
D/WB (R),31.887748117727583,14,15,14,1127,6.66,12,13,11,16,13,3200,106,107,7,120,99
ST (C),31.641341546885695,12,17,12,164,6.7,8,9,13,14,12,3400,107,115,13,140,102
M/AM (RL),31.24435318275154,17,14,15,910,6.61,15,13,14,15,10,4550,111,122,13,120,107
"DM, M (C)",29.15811088295688,16,17,14,2519,7.01,13,14,13,14,12,7250,152,172,20,185,155
M/AM (C),28.39425051334702,17,13,16,1627,6.83,12,13,13,15,8,5900,141,152,17,173,142
D/WB/M (L),30.143737166324435,14,14,12,845,6.9,12,12,13,15,12,4000,111,130,11,120,108
D (C),30.989733059548254,13,10,9,3177,6.76,12,12,13,13,7,4000,114,119,13,158,114
ST (C),27.98904859685147,8,15,13,3224,7.35,14,10,11,13,4,4750,123,125,17,147,123
D (C),30.70773442847365,12,13,10,2933,6.78,10,8,13,9,4,3000,108,110,12,96,108
AM (RLC),31.315537303216974,9,16,13,2534,7.11,11,11,20,11,12,2450,98,115,12,96,92
M/AM (RC),27.039014373716633,10,8,16,2463,6.66,10,7,6,8,8,5500,119,125,11,160,119
"D (C), DM",28.240930869267626,8,12,10,2619,6.62,9,12,14,13,5,2750,110,115,6,130,110
D (RC),27.59479808350445,12,13,12,1701,6.85,12,12,13,12,10,4750,120,135,13,130,119
D (C),26.78986995208761,14,15,13,2842,6.92,13,12,14,14,12,5500,133,144,17,161,133
"DM, M (C)",26.729637234770706,7,13,11,1660,6.91,11,8,12,10,4,4500,117,135,13,134,117
GK,27.45516769336071,16,14,13,3330,6.77,8,15,12,20,9,6150,138,147,13,185,139
AM (RLC),25.744010951403148,13,17,15,3330,7.27,15,14,13,15,6,5750,141,153,15,173,145
D/WB (L),28.908966461327857,10,15,15,2202,6.74,15,14,11,13,12,4500,116,126,15,134,116
"DM, M/AM (RC)",27.145790554414784,10,14,10,876,6.87,10,17,11,9,13,3500,118,125,11,120,118
"AM (LC), ST (C)",26.751540041067763,7,9,11,275,6.52,11,10,6,12,5,1500,89,106,8,80,89
GK,28.635181382614647,14,5,11,3330,6.88,7,12,11,8,9,3750,115,120,13,117,115
GK,25.470225872689937,14,13,14,3330,6.79,9,11,11,11,5,4250,123,130,10,120,123
"DM, M/AM (C)",25.308692676249144,15,12,10,293,6.78,11,11,12,14,9,5000,132,140,16,173,131
"DM, M/AM (C)",26.600958247775495,16,14,13,3102,6.75,13,8,13,7,5,5500,128,140,13,173,131
D/WB (RL),27.87953456536619,16,17,12,1320,6.65,15,12,13,18,10,5500,135,142,13,173,135
D/WB/M (L),25.44558521560575,15,13,17,2648,6.91,15,14,12,12,13,5750,135,142,18,160,136
"M (C), AM (RLC)",25.155373032169745,17,14,16,3494,7.17,16,16,15,13,12,6750,155,162,16,173,162
D (RC),26.039698836413415,15,12,12,1964,6.83,7,8,11,14,10,4000,120,130,16,158,120
"DM, M (C)",26.87748117727584,7,16,12,989,6.83,10,10,12,12,12,4000,122,125,14,116,122
ST (C),24.865160848733744,13,13,14,636,6.81,10,7,11,12,7,2250,108,115,6,120,109
"DM, M (C)",24.88158795345654,12,13,6,2055,6.81,10,8,11,12,9,2750,115,120,9,130,115
"D (C), DM, M (C)",26.135523613963038,12,17,12,1565,6.67,13,13,13,12,9,5050,131,138,15,173,131
M/AM (RLC),24.59958932238193,13,16,14,1673,6.99,12,13,12,7,7,5250,128,140,17,160,133
D (C),25.68104038329911,9,12,13,1347,7.08,12,10,11,12,6,3550,110,114,13,158,112
"AM (L), ST (C)",24.487337440109513,13,5,12,1231,6.68,13,9,13,7,8,2000,90,91,4,91,90
D (C),26.754277891854894,14,13,12,2296,6.79,11,11,13,11,9,5000,126,135,10,173,126
M/AM (RC),25.456536618754278,14,13,13,2289,6.71,12,12,12,10,8,5750,140,146,15,173,140
GK,23.860369609856264,9,3,10,2880,6.75,14,14,9,11,4,1250,98,107,12,96,98
D/WB (L),23.561943874058862,9,15,12,3033,6.67,12,10,12,18,10,4250,130,141,13,173,130
"DM, M (C)",23.238877481177276,11,11,12,1169,6.93,12,10,11,11,7,3000,111,130,14,117,112
D (C),26.42299794661191,11,19,9,1101,6.88,10,14,13,7,7,2900,93,112,17,80,94
ST (C),23.033538672142367,15,13,12,2217,6.92,13,12,12,13,7,3850,116,138,15,116,117
"D (C), DM",24.8186173853525,12,17,15,1755,6.88,12,14,14,17,5,4300,126,135,18,160,126
GK,23.392197125256672,13,12,13,3780,6.82,12,12,12,12,7,5000,125,140,14,130,125
M (L),26.157426420260094,13,12,10,1822,6.65,15,12,10,17,12,3150,102,108,12,140,102
D (LC),22.874743326488705,13,15,13,2672,6.81,12,12,12,10,11,4500,125,140,15,173,130
ST (C),23.397672826830938,12,14,10,900,6.7,7,10,10,18,12,1250,95,108,6,80,95
"D (C), DM",21.626283367556468,10,15,13,0,0.0,10,12,12,12,6,4000,120,145,16,125,120
"D (LC), DM, M (C)",23.46611909650924,15,16,13,2764,6.72,11,12,13,12,6,5050,121,140,11,173,130
D (C),23.342915811088297,16,15,14,3274,7.1,13,17,12,10,6,5900,142,161,18,160,142
D/WB (R),21.82067077344285,12,13,10,2572,6.89,9,12,10,12,5,1750,90,115,14,130,91
AM (RL),26.154688569472963,10,10,9,370,6.97,9,9,9,15,11,2500,95,115,9,91,95
D (RLC),24.320328542094455,15,7,13,2716,7.11,7,9,9,13,9,2550,102,111,12,96,102
D/WB/M (L),24.9637234770705,13,13,12,1914,6.8,13,11,12,12,7,2750,110,115,6,130,110
"M (L), AM (RLC)",20.517453798767967,12,13,12,174,6.7,13,13,12,12,8,3250,113,131,14,116,112
"D (LC), WB (L)",21.440109514031484,16,17,19,3284,6.98,16,18,14,13,6,6500,150,178,20,185,165
"AM (RLC), ST (C)",21.245722108145106,11,3,10,146,7.25,9,12,10,14,9,2350,92,120,13,80,92
GK,23.27173169062286,15,13,9,4980,6.84,11,12,13,14,5,4250,125,141,14,134,125
"AM (C), ST (C)",21.338809034907598,16,15,15,532,6.5,11,12,12,11,8,4050,121,145,15,173,121
"D (C), DM",24.468172484599588,12,5,10,417,6.96,7,12,9,19,6,2450,98,107,12,96,98
AM (RL),22.595482546201232,12,13,11,1789,7.08,15,13,10,13,7,2300,111,128,15,140,112
D (C),22.439425051334702,11,7,9,3300,6.96,14,9,7,14,7,2300,105,129,14,80,105
ST (C),22.9596167008898,12,12,11,1778,6.88,9,11,12,12,10,3900,108,119,10,116,108
D (C),22.43394934976044,14,12,13,668,6.61,11,13,11,7,4,3750,112,135,14,125,113
"DM, M (C)",22.518822724161534,8,13,12,2472,6.96,8,12,12,12,6,3600,112,124,13,158,112
GK,34.261464750171115,16,14,12,1530,6.69,12,13,14,13,16,4500,120,150,14,116,114
GK,32.63244353182751,15,15,14,4680,7.07,16,15,15,15,5,3500,126,126,14,134,125
GK,31.561943874058862,16,13,13,0,0.0,10,8,8,15,5,2250,85,115,10,107,85
D (RC),30.132785763175907,15,14,13,996,6.95,10,12,13,12,8,4500,118,135,16,125,117
D/WB (R),31.186858316221766,16,16,15,2744,7.0,14,12,13,12,13,5250,132,139,18,173,128
"DM, M/AM (C)",32.90075290896646,17,15,14,2609,6.88,16,12,17,15,10,4250,125,145,9,130,118
GK,30.850102669404517,8,13,8,360,6.92,11,9,11,6,6,4600,122,136,15,173,122
"DM, M (C)",31.195071868583163,12,14,10,3008,6.87,10,13,14,8,12,5000,130,140,17,147,124
"M (R), AM (RL)",25.70841889117043,11,12,14,767,6.78,10,10,12,8,10,5000,129,132,15,173,129
D/WB (R),30.861054072553046,12,17,13,1860,6.68,16,16,17,9,7,5500,136,140,14,185,136
GK,31.21697467488022,17,13,12,0,0.0,16,14,10,14,8,5250,126,160,17,173,126
M/AM (C),28.580424366872005,14,13,14,395,6.84,14,10,12,13,12,5500,132,140,20,173,132
"DM, M (C)",28.344969199178646,16,16,13,2419,7.0,14,14,14,11,10,6000,140,155,14,185,140
"D (RLC), WB (RL)",27.080082135523615,13,12,14,2336,7.06,11,11,10,11,6,4400,121,130,11,120,121
ST (C),27.43874058863792,14,12,13,150,6.7,14,10,12,11,13,6000,145,155,17,173,145
"DM, M (C)",27.748117727583846,9,12,13,2717,6.8,11,13,10,9,8,2500,105,115,5,91,105
"DM, M (C)",25.12251882272416,14,15,13,2705,6.81,13,12,13,7,6,5550,131,140,13,173,136
M/AM (C),25.05407255304586,11,12,13,731,6.78,6,10,13,8,5,3500,116,123,14,110,116
AM (RC),24.736481861738536,13,13,12,3079,7.22,13,12,12,11,7,4500,128,135,17,160,128
"D/WB (L), DM, M (C)",25.089664613278575,11,9,12,2944,6.9,13,9,10,15,8,2400,98,101,16,73,98
D (C),24.243668720054757,12,3,13,2712,6.77,9,8,12,16,13,3000,99,108,12,147,101
"AM (R), ST (C)",22.885694729637233,12,16,16,661,6.91,11,10,12,13,12,4400,125,138,15,173,125
"DM, M (C)",23.345653661875428,11,14,12,1025,6.73,12,10,12,9,5,3800,113,130,14,125,114
D/WB (L),22.902121834360027,15,14,12,169,6.74,12,8,14,7,10,5500,123,136,18,173,124
M/AM (RC),25.420944558521562,8,16,16,1372,6.76,13,8,13,14,7,4750,129,135,13,173,135
"M (C), AM (LC)",31.98631074606434,13,13,12,2281,6.98,16,12,13,17,6,1500,95,100,5,91,89
"M (R), AM (RL)",26.06160164271047,14,12,15,850,6.83,12,14,12,15,5,3750,126,130,14,161,126
M/AM (C),23.293634496919918,12,13,14,755,7.04,12,11,9,11,5,1500,90,110,9,91,93
"DM, M (C)",31.83025325119781,18,18,13,2798,6.9,15,13,13,17,12,6000,132,146,18,147,129
"DM, M/AM (C)",31.381245722108144,18,16,16,968,7.09,13,15,13,8,4,7000,146,170,17,185,146
"DM, M (C)",32.17522245037645,13,17,16,2387,6.74,11,10,12,19,7,4500,121,124,12,147,119
"AM (RL), ST (C)",32.0766598220397,16,15,15,2853,7.07,14,12,12,14,11,6250,140,145,17,116,133
D (C),30.913073237508556,16,14,15,2869,6.92,13,14,12,13,7,5250,135,150,20,134,135
GK,30.910335386721425,15,13,14,3420,6.83,15,14,17,11,10,5400,138,140,13,173,138
M (LC),31.444216290212182,13,14,13,305,6.89,12,10,12,8,7,3650,106,118,13,140,103
D (RC),31.21697467488022,14,12,15,3385,6.71,14,17,12,16,10,4300,110,135,12,120,113
D (C),31.422313483915126,12,15,14,3595,6.72,12,13,12,14,3,5000,115,127,7,116,115
"DM, M (C)",30.47501711156742,15,14,14,3780,7.04,13,14,14,15,8,4500,130,135,14,130,131
"DM, M (C)",29.864476386036962,10,14,10,791,6.83,11,6,13,12,9,3500,108,116,10,125,107
GK,29.804243668720055,15,13,15,0,0.0,12,11,14,13,7,3750,105,113,13,173,105
"DM, M (C)",29.31416837782341,14,15,14,3420,6.82,15,14,15,14,10,6250,144,146,11,185,144
M/AM (C),29.177275838466805,10,8,13,2173,6.69,12,7,13,14,7,3750,125,130,20,147,124
M (C),28.88158795345654,8,15,12,1243,7.02,11,12,10,5,13,4250,110,144,12,110,110
"AM (RL), ST (C)",33.02395619438741,11,12,10,2420,7.21,15,10,11,12,5,1450,84,108,9,86,70
"AM (C), ST (C)",33.27857631759069,15,14,11,0,0.0,17,8,12,12,4,3600,112,115,12,125,110
AM (RLC),28.54483230663929,14,13,15,2935,6.72,11,12,11,12,9,4500,126,138,20,147,129
"AM (R), ST (C)",29.048596851471594,15,17,12,2603,7.3,15,12,13,12,12,5750,136,145,16,173,137
D/WB (R),28.366872005475702,11,13,13,3269,6.62,12,11,13,12,5,3250,124,130,15,161,124
D (C),27.227926078028748,13,11,15,2715,6.91,14,14,15,16,5,7100,154,165,19,178,154
"D (C), DM",27.345653661875428,18,16,13,3180,6.93,14,17,18,16,5,4000,122,125,10,125,122
M/AM (RLC),29.034907597535934,12,7,10,3005,6.88,9,12,11,8,9,5250,118,128,12,160,117
D (C),27.08829568788501,16,15,15,3509,6.83,12,14,14,14,7,6000,147,151,15,185,147
D/WB (RL),26.833675564681723,15,14,14,2645,6.73,6,12,13,12,8,4900,128,131,15,173,128
M (C),27.50171115674196,13,14,15,3320,6.99,13,13,14,15,11,6150,142,145,11,185,142
"D (LC), WB (L)",28.91170431211499,12,16,14,2120,6.71,12,10,11,16,8,4000,114,127,11,134,114
D (C),26.95687885010267,13,13,13,623,6.95,10,12,12,11,6,3250,113,113,14,147,113
"DM, M (C)",27.06091718001369,12,17,12,3027,6.84,14,11,15,10,5,3250,119,125,10,120,119
"WB (RL), M/AM (R)",27.11841204654346,14,12,13,1476,6.73,11,12,12,9,11,5500,133,137,18,173,133
ST (C),26.409308692676248,10,12,13,433,6.7,10,10,12,10,5,2250,105,120,12,94,105
D/WB (RL),26.119096509240247,12,15,15,1480,6.66,14,11,12,17,7,5500,137,144,15,173,137
D (C),25.51403148528405,17,16,14,3604,6.7,12,13,13,14,4,4000,118,131,14,185,126
D/WB/M (R),25.976728268309376,14,15,17,3391,7.12,12,13,15,9,5,5550,138,145,18,173,145
D (C),26.297056810403834,12,14,12,3105,6.75,12,9,12,13,13,3750,128,134,15,161,129
GK,25.95482546201232,20,14,14,3870,6.78,10,6,14,15,3,4500,120,140,16,134,131
"AM (L), ST (C)",25.738535249828885,14,12,12,2513,6.69,12,10,14,13,10,6200,140,156,18,147,140
D (LC),29.10335386721424,12,12,11,2492,6.81,10,10,10,10,5,950,74,79,10,86,74
"DM, M (RC)",26.647501711156742,16,16,13,2360,6.7,15,12,14,8,8,5000,131,133,17,173,133
"AM (RLC), ST (C)",25.366187542778917,12,11,16,61,6.6,13,7,12,8,13,4000,112,120,13,160,108
D/WB/M (R),25.256673511293634,12,10,14,773,6.64,10,11,12,10,10,3750,107,117,10,160,107
"D (RLC), WB (RL)",27.613963039014372,13,5,9,2654,6.77,10,9,10,19,10,2700,109,118,12,104,109
D (C),25.83709787816564,8,13,13,2985,6.76,12,11,13,16,3,3700,114,122,11,125,115
ST (C),25.023956194387406,11,7,8,1800,6.65,9,9,7,10,7,4000,117,128,16,134,118
"AM (RLC), ST (C)",25.169062286105408,12,12,14,2493,6.71,11,11,12,9,7,5000,130,133,18,147,130
"D (LC), DM, M (C)",25.333333333333332,13,13,14,112,6.83,11,12,12,13,15,4750,116,139,16,134,117
M/AM (RL),24.78576317590691,13,11,14,1884,6.81,11,10,10,12,12,5000,129,138,16,185,131
D/WB/M/AM (R),24.459958932238195,11,9,9,678,6.88,10,9,11,20,8,3000,120,125,14,117,120
"M/AM (C), ST (C)",23.926078028747433,15,13,13,63,6.65,12,8,13,12,7,4500,118,129,15,134,118
M/AM (L),23.93429158110883,12,13,13,388,6.79,13,12,12,14,8,3000,122,130,17,160,122
D (RC),24.11498973305955,10,7,10,1918,6.9,13,8,11,8,5,1400,113,130,14,120,113
D/WB (R),23.698836413415467,19,18,11,3128,6.87,13,15,13,15,5,2250,111,128,12,107,111
"AM (RLC), ST (C)",24.257357973990416,12,15,11,1739,6.76,11,12,11,17,8,4250,132,139,16,173,136
GK,22.976043805612594,13,12,15,4050,6.86,11,12,12,10,8,4500,137,165,20,134,140
D/WB (R),24.024640657084188,13,14,13,2952,6.81,13,11,13,12,6,5650,136,144,11,185,136
"AM (C), ST (C)",24.399726214921287,15,15,15,2704,6.69,15,14,14,15,12,5750,140,150,15,173,142
"DM, M (C)",24.147843942505133,14,15,13,1343,6.67,12,13,11,7,5,3750,114,130,10,120,114
AM (R),23.509924709103355,14,8,12,2719,6.92,13,9,11,7,7,5000,132,143,20,147,136
D (C),25.073237508555785,13,13,14,3293,6.79,10,14,14,10,7,5000,133,140,12,178,140
"M (RL), AM (RLC)",22.99794661190965,13,14,13,1911,6.78,12,10,11,12,13,5500,136,158,11,185,136
"DM, M (C)",25.50034223134839,12,17,12,45,6.5,12,12,9,13,5,5350,127,142,11,185,127
"DM, M (C)",23.293634496919918,10,18,13,2455,6.92,13,13,15,13,6,3250,115,129,13,147,124
M/AM (R),22.203969883641342,16,16,15,336,7.07,10,11,12,12,8,4500,135,150,18,173,135
"M (C), AM (LC)",23.928815879534564,11,12,12,1757,6.72,15,7,10,16,8,2750,115,128,16,134,115
D/WB/M/AM (R),25.56331279945243,14,14,12,2998,7.13,9,10,12,15,8,5500,140,150,20,158,149
D/WB/M/AM (L),24.550308008213552,12,11,12,662,6.71,11,12,13,10,7,3000,121,129,18,134,121
"DM, M (C)",22.236824093086927,15,12,15,3148,7.05,12,12,13,14,5,3250,137,154,16,173,146
D (C),22.46132785763176,14,15,12,545,7.06,12,11,13,18,5,3700,110,130,12,160,110
"AM (RC), ST (C)",23.006160164271048,10,10,14,2118,6.93,9,12,9,8,12,2250,113,120,9,160,113
D (C),24.1533196440794,13,14,13,2695,6.69,12,11,10,10,5,2500,100,110,6,130,105
"DM, M (C)",24.021902806297057,14,17,14,3125,7.08,15,14,15,11,7,6350,147,155,20,158,147
"D (RLC), WB (RL)",24.073921971252567,13,11,12,2101,6.82,7,12,12,13,9,4000,120,129,17,160,122
ST (C),23.96167008898015,12,14,13,1709,6.81,10,14,13,14,8,750,118,125,18,134,118
M/AM (C),22.297056810403834,10,11,12,38,6.7,6,9,9,12,5,4000,118,133,13,185,118
M/AM (C),23.17864476386037,12,12,8,74,7.15,10,12,10,10,8,2250,106,125,8,120,106
GK,23.737166324435318,10,19,13,450,6.98,3,13,12,10,6,2250,111,121,18,147,113
"M (C), AM (RC)",23.397672826830938,11,13,14,90,6.45,8,7,12,7,6,3500,119,130,17,160,119
"D/WB (L), DM, M (C)",23.359342915811087,13,13,15,6,0.0,13,15,13,14,16,4000,118,132,16,173,117
GK,24.281998631074607,15,17,16,1314,6.83,14,10,11,12,7,4850,126,140,20,173,131
ST (C),22.494182067077343,12,16,16,682,6.75,13,10,12,12,8,4500,121,135,13,173,123
"DM, M (C)",22.02053388090349,14,14,12,732,6.77,11,12,13,5,4,4100,120,142,15,173,120
"M (L), AM (RLC), ST (C)",22.510609171800137,7,16,15,3060,6.83,17,8,10,11,6,2050,105,120,12,110,110
"DM, M (C)",22.349075975359344,14,16,15,2886,6.97,16,12,12,15,6,5250,129,152,19,140,143
D (RLC),21.136208076659823,13,14,13,1809,6.86,12,13,14,14,5,3250,120,142,14,120,121
"AM (R), ST (C)",25.522245037645447,12,12,13,620,6.78,10,12,10,17,5,2750,120,130,15,161,122
AM (RLC),23.340177960301162,14,12,15,0,0.0,12,12,11,11,8,5950,136,152,17,173,139
D (C),22.491444216290212,12,12,11,933,6.74,11,9,13,7,7,3600,112,133,12,158,113
GK,24.292950034223136,14,11,14,4126,6.96,11,9,12,15,5,1500,99,125,12,107,108
AM (RL),21.4839151266256,14,14,15,2589,7.15,14,13,13,13,6,4750,137,160,14,161,142
GK,21.357973990417523,15,12,13,3900,6.9,8,11,11,14,4,3000,114,143,17,120,130
D/WB (R),22.642026009582477,12,15,12,582,6.95,12,11,12,12,4,4100,122,140,15,173,122
"M/AM (C), ST (C)",20.019164955509925,14,15,16,2203,7.17,10,13,11,16,5,5200,128,163,19,140,142
ST (C),19.928815879534564,8,11,11,383,6.68,12,8,12,7,10,3750,110,132,8,125,112
"DM, M/AM (C)",19.572895277207394,13,14,13,563,6.89,13,13,12,13,4,3600,116,125,17,160,116
AM (C),22.182067077344286,14,13,13,1598,6.51,12,13,10,12,9,3250,113,131,14,147,113
"D (LC), WB (L)",20.28747433264887,10,13,12,0,0.0,3,11,11,18,11,750,79,96,12,160,80
ST (C),20.407939767282684,16,16,15,3318,6.99,13,15,12,17,7,5900,140,170,17,185,159
"M (L), AM (LC), ST (C)",20.33949349760438,14,11,13,2004,6.92,10,13,11,13,8,4400,117,137,15,140,117
D/WB (L),20.54483230663929,15,16,15,1321,6.89,14,15,13,15,6,5000,132,149,16,173,139
M/AM (C),21.13347022587269,10,13,11,2355,6.76,9,7,11,8,5,2500,107,125,15,117,111
"DM, M (C)",22.203969883641342,9,13,11,2755,6.92,12,12,12,17,5,3750,118,141,20,147,119
"M (L), AM (RL)",19.6249144421629,10,13,14,951,7.12,12,9,10,8,4,3250,107,116,9,160,107
D/WB/M (L),18.68309377138946,13,15,14,696,7.09,12,6,12,19,5,2250,123,169,15,173,130
"DM, M (C)",34.600958247775495,15,15,13,0,0.0,12,13,10,12,10,3250,90,130,20,185,79
GK,34.34360027378508,15,14,8,2125,6.85,9,10,11,12,3,3000,100,135,17,107,95
GK,35.24435318275154,12,14,13,205,6.93,11,12,10,4,3,3250,104,128,16,134,96
"WB/M/AM (R), ST (C)",34.34907597535934,13,12,13,1845,7.21,12,8,15,14,6,2300,92,120,10,85,83
GK,34.01779603011636,14,14,10,360,6.78,10,11,10,12,9,2400,99,125,10,107,96
GK,33.229295003422315,16,14,11,1440,6.99,5,12,10,16,8,2750,100,125,11,107,95
"DM, M (C)",31.94798083504449,17,16,15,1690,6.8,11,14,15,20,13,3500,117,135,16,134,108
ST (C),34.510609171800134,13,14,15,611,6.42,14,12,12,8,10,3500,112,130,16,134,103
"DM, M (C)",32.92539356605065,16,8,12,0,0.0,10,14,14,12,18,4000,119,128,18,134,111
GK,32.75290896646133,14,11,10,90,6.5,7,10,10,9,7,2000,90,120,8,107,86
D/WB (L),33.26488706365503,12,13,11,426,6.64,11,11,12,12,8,3750,105,126,10,107,93
D (RLC),33.67556468172484,17,18,12,2725,6.7,14,9,13,14,7,5250,127,136,15,185,122
ST (C),35.162217659137575,17,15,13,3267,6.73,13,14,12,6,18,2250,72,105,12,46,66
"D (L), DM, M (C)",33.68925393566051,14,12,10,2375,6.6,12,12,12,13,6,4600,117,130,14,134,109
"DM, M (C)",33.04312114989733,20,19,18,1967,6.95,16,18,13,11,9,6500,145,165,18,160,142
"AM (RL), ST (C)",33.440109514031484,12,13,11,2512,6.94,14,9,11,10,13,3500,108,132,17,107,98
"D (C), DM, M (C)",33.63175906913073,15,13,11,3116,6.78,14,8,10,5,5,4000,119,144,18,134,113
"M (R), AM (RL)",31.964407939767284,13,13,10,1169,6.5,10,12,12,12,11,5250,129,144,14,185,119
"D (LC), WB (L)",33.54688569472964,14,13,16,547,6.55,11,11,12,12,11,5500,132,145,14,185,124
"D (C), DM, M (C)",34.75427789185489,6,12,12,483,6.43,13,9,10,10,10,2250,91,120,6,85,80
"DM, M (C)",32.837782340862425,8,13,13,571,6.99,10,9,5,11,13,1500,82,115,7,72,72
"D/WB (R), M (RC)",34.53798767967146,19,15,9,1760,6.7,12,14,16,17,8,2750,98,134,12,107,91
D/WB (R),33.097878165639976,14,16,15,3946,7.01,13,7,18,10,7,7750,164,164,20,185,157
GK,33.20739219712526,17,15,16,3330,6.97,14,15,14,17,8,7000,156,169,18,173,155
D/WB (L),32.8952772073922,15,11,10,1094,6.53,13,10,9,16,8,1950,87,109,6,85,82
GK,32.46543463381246,17,12,13,450,6.7,12,11,12,10,4,4500,126,128,13,185,124
"DM, M (C)",32.224503764544835,14,14,12,701,6.61,13,11,14,6,5,4500,124,133,13,185,117
"AM (RL), ST (C)",32.59958932238193,15,14,15,1908,6.89,12,13,14,20,16,6000,146,160,18,185,138
D (RC),33.18275154004107,14,14,12,270,6.8,11,12,10,8,16,5000,109,130,15,134,100
GK,32.369609856262834,12,15,14,4500,6.7,10,9,15,6,8,900,58,70,5,46,56
ST (C),32.58590006844627,13,17,11,1655,6.64,10,13,10,7,4,3500,106,120,17,107,103
"DM, M (C)",32.50924024640657,16,15,14,2943,6.64,11,12,12,15,9,3250,94,120,9,85,91
"M (C), AM (LC)",31.21423682409309,8,10,11,2432,6.72,11,11,10,10,16,2250,92,106,6,85,85
GK,32.407939767282684,8,14,15,180,6.95,8,9,8,10,18,1500,52,133,20,107,52
D/WB (RL),32.17796030116359,15,14,14,1586,6.57,14,11,15,12,5,4750,129,136,13,185,122
"D (RC), WB (R)",31.854893908281998,15,15,13,3473,6.92,13,14,14,6,11,5150,124,139,18,134,118
M (C),32.563997262149215,11,14,7,3394,6.75,13,13,16,4,10,2000,91,118,11,85,83
GK,33.72210814510609,15,14,10,180,6.8,7,13,15,9,19,1750,84,105,12,85,80
ST (C),31.21697467488022,14,9,7,4207,6.93,8,4,11,7,5,1100,78,80,6,46,76
D (C),32.205338809034906,13,14,14,3938,6.75,13,12,14,12,4,4750,121,142,14,134,119
"AM (C), ST (C)",33.672826830937716,12,16,9,2892,7.14,15,9,13,7,7,4000,117,138,16,134,113
AM (RLC),31.90965092402464,11,13,12,96,7.0,12,10,11,15,12,4750,106,135,15,134,98
D (C),32.75838466803559,18,15,12,1790,6.88,15,13,15,8,17,2250,90,100,9,72,84
"D (RC), WB (R)",31.86858316221766,18,18,10,2429,6.62,11,9,11,10,7,2150,77,115,9,72,76
D (C),31.698836413415467,13,16,11,3125,6.79,14,11,13,12,4,2250,80,110,5,72,80
D (C),32.114989733059545,14,15,14,251,6.4,11,11,12,13,15,3750,113,131,15,134,105
"D (C), DM, M (C)",34.95140314852841,16,15,12,1152,6.84,12,12,13,14,7,4750,124,135,13,185,117
D (LC),32.32032854209446,12,13,11,1325,6.72,10,11,12,6,14,2200,85,100,9,85,80
"AM (LC), ST (C)",32.563997262149215,15,11,13,579,6.51,13,13,9,13,16,3500,110,120,14,134,104
