UID,Club,Position,Age,DoB,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,PA,Training facilities,Div Rep,FCA
50060650,Biesheim ASC,M (R),27,28/2/1996 (27 years old),13,14,12,350,6.80,6,10,18,11,5,700,74,90,2,66,74
50060777,Olympique Alès Cévènnes,"D/WB (R), DM",26,19/2/1997 (26 years old),11,13,12,490,7.33,4,12,10,9,7,1350,87,99,5,66,87
50060849,Bourges Foot 18,D (RC),26,23/7/1996 (26 years old),11,7,8,2329,6.59,9,11,11,12,10,1350,83,92,5,66,83
50061078,UF Mâcon,D/WB (RL),26,17/3/1997 (26 years old),11,11,12,2295,7.31,10,13,11,20,7,1750,90,100,2,66,90
50061119,Créteil,ST (C),29,11/5/1994 (29 years old),10,11,13,34,6.40,9,9,20,18,8,1000,80,87,10,66,79
50061125,Entente Feignies Aulnoye,M (L),31,20/4/1992 (31 years old),12,19,10,42,6.60,8,10,11,17,5,1000,79,84,2,66,79
50061694,Villefranche Beaujolais,"DM, M (C)",30,24/8/1992 (30 years old),15,12,11,45,6.60,12,10,12,11,8,1750,94,102,5,85,94
50061712,Hyères 83 FC,M/AM (C),28,19/11/1994 (28 years old),14,17,11,83,6.60,16,10,6,8,10,1050,84,94,5,66,84
50061722,RC Grasse,D (RLC),29,24/9/1993 (29 years old),11,14,13,2838,6.65,13,12,11,10,8,1100,86,90,3,66,86
50061783,RC Grasse,DM,34,23/10/1988 (34 years old),8,5,9,2385,6.61,10,11,11,18,5,1100,84,85,3,66,72
50062605,USL Dunkerque,AM (RLC),24,21/4/1999 (24 years old),13,13,12,3000,6.88,13,9,13,9,10,2500,108,130,6,117,110
50062758,GOAL FC,"M/AM (R), ST (C)",28,25/9/1994 (28 years old),10,7,11,246,7.08,5,12,11,20,9,1050,85,95,5,85,84
50063042,AS Furiani-Agliani,D (L),29,20/2/1994 (29 years old),10,14,11,13,0.00,11,10,7,10,7,750,76,91,4,66,76
50063050,Bastia,"D (C), DM, M (C)",27,6/2/1996 (27 years old),12,14,12,443,6.62,5,10,12,7,7,2500,105,116,12,117,103
50063066,FC Libourne,"AM (C), ST (C)",28,8/7/1994 (28 years old),12,17,9,2377,6.81,14,12,9,16,12,600,71,83,4,66,70
50063819,Trélissac,D/WB (L),26,28/3/1997 (26 years old),14,16,10,2355,6.71,10,13,12,8,5,1000,80,96,5,66,80
50063830,Quevilly-Rouen,D/WB/M (L),22,5/7/2000 (22 years old),13,4,11,1605,6.83,8,12,11,10,5,2000,98,117,8,117,98
50063887,SC Toulon,ST (C),31,21/1/1992 (31 years old),12,17,10,2178,7.37,9,14,10,19,12,1150,86,91,8,66,86
50063898,Blois Foot 41,D (C),31,16/1/1992 (31 years old),12,7,12,2100,6.76,10,14,10,13,4,1150,86,92,5,66,85
50064230,SO Cholet,"AM (L), ST (C)",31,11/7/1991 (31 years old),11,13,11,0,0.00,11,12,10,20,6,1600,94,100,5,85,88
50065149,Trélissac,"D (RC), WB (R), DM",25,16/11/1997 (25 years old),11,16,14,495,6.47,12,10,11,17,8,1000,83,119,5,66,83
50065185,SC Toulon,ST (C),25,5/8/1997 (25 years old),10,5,10,2018,7.08,4,12,10,10,8,1100,84,92,8,66,84
50065187,FC Martigues,D/WB/M (L),25,28/4/1998 (25 years old),10,16,10,2882,7.28,12,9,13,17,6,2000,100,108,5,85,100
50065188,Andrézieux-Bouthéon FC,ST (C),30,13/9/1992 (30 years old),9,8,15,1365,6.84,10,12,19,16,5,1050,83,85,5,66,79
50065271,Aubagne FC,"M/AM (L), ST (C)",30,21/12/1992 (30 years old),12,13,11,2250,6.79,13,13,11,14,7,1350,83,88,2,66,83
50065275,Lens,"AM (R), ST (C)",25,10/3/1998 (25 years old),14,6,9,133,6.60,14,9,12,13,7,3750,117,119,16,161,117
50065334,Salernitana,ST (C),26,16/11/1996 (26 years old),8,15,15,3083,6.67,13,11,14,13,9,5750,138,144,13,173,138
50065383,SR Colmar,M (C),24,21/6/1999 (24 years old),13,14,11,234,6.97,14,10,12,17,9,600,72,95,6,66,75
50065445,UF Mâcon,"D (C), DM",25,26/11/1997 (25 years old),11,6,10,270,6.43,13,11,10,15,10,1000,81,97,2,66,81
50065450,GOAL FC,"D (C), DM",24,7/2/1999 (24 years old),12,11,10,3149,6.71,11,9,11,11,7,1750,96,121,5,85,96
50065466,St-Pryvé St-Hilaire FC,DM,26,26/3/1997 (26 years old),12,5,12,2533,6.87,13,12,9,15,7,1000,82,96,3,66,82
50065518,FC Martigues,"DM, M (C)",29,2/5/1994 (29 years old),10,10,11,2996,6.91,15,10,13,13,11,1750,98,102,5,85,98
50065541,Bastia,"D (C), DM, M (C)",22,30/8/2000 (22 years old),11,5,11,433,6.79,6,10,11,18,10,2500,100,118,12,117,100
50065544,Vitesse,"M (L), AM (RLC), ST (C)",22,26/10/2000 (22 years old),9,5,13,738,6.79,7,11,13,16,7,3500,112,124,18,160,112
50065578,Villefranche Beaujolais,"DM, M (C)",29,4/1/1994 (29 years old),13,20,11,368,7.00,9,10,11,12,14,1500,91,95,5,85,91
50065585,RFC Liège,"D (R), M (C)",24,23/8/1998 (24 years old),12,15,13,379,6.66,12,11,8,9,10,1750,76,79,12,96,76
50065586,FC Libourne,"AM (C), ST (C)",31,4/9/1991 (31 years old),12,11,8,300,6.92,4,10,9,12,6,1050,84,89,4,66,80
50065680,Chambly,"AM (RL), ST (C)",29,9/8/1993 (29 years old),10,9,13,1934,6.93,7,10,11,12,5,1500,91,96,4,66,90
50065769,Fréjus Saint-Raphaël,"DM, M (C)",29,25/10/1993 (29 years old),11,10,10,2494,6.90,8,11,13,19,6,1050,84,90,6,66,80
50065808,Créteil,D (RC),24,13/11/1998 (24 years old),12,14,10,2295,6.78,9,11,20,16,12,1150,86,98,10,66,86
50065863,FC Borgo,D (C),25,5/3/1998 (25 years old),11,13,10,431,6.74,11,11,12,15,12,1000,82,113,8,66,82
50065939,Olympique Saumur FC,D (C),26,4/6/1997 (26 years old),11,1,7,2250,6.84,6,11,12,16,7,600,73,82,3,66,73
50067520,Paris 13 Atlético,D (C),25,12/11/1997 (25 years old),9,4,11,559,6.73,10,12,11,9,15,1450,85,97,3,66,85
50067620,Andrézieux-Bouthéon FC,D (R),25,5/3/1998 (25 years old),11,14,12,598,6.91,8,11,10,18,13,1050,82,100,5,66,83
50067932,Aubagne FC,DM,28,23/9/1994 (28 years old),13,5,13,2340,6.83,3,9,10,8,6,1050,84,88,2,66,84
50068004,Châteauroux,GK,33,26/4/1990 (33 years old),9,8,11,180,6.85,15,11,11,16,7,1550,93,94,14,85,88
50068022,Marignane GCB FC,"AM (R), ST (C)",25,26/5/1998 (25 years old),10,5,10,886,6.79,6,11,12,18,10,1500,92,98,5,85,92
50068255,Dinan Léhon FC,D (C),28,18/9/1994 (28 years old),13,14,11,177,6.87,2,10,12,14,8,1000,82,93,2,66,80
50068538,FC Rouen,D (LC),28,11/12/1994 (28 years old),10,15,13,3274,6.93,13,12,12,16,3,1500,92,97,8,85,92
50070193,Le Mans FC,"AM (L), ST (C)",26,22/4/1997 (26 years old),13,17,15,1271,6.67,9,13,12,16,14,1750,93,104,12,85,93
50070243,Châteauroux,M (C),25,14/8/1997 (25 years old),11,10,12,1791,6.88,4,13,12,8,8,1750,98,106,14,85,98
50070265,Hyères 83 FC,M (L),27,8/9/1995 (27 years old),11,18,10,0,0.00,6,11,11,12,10,1050,82,87,5,66,82
50070269,RC Grasse,GK,27,8/8/1995 (27 years old),14,9,11,180,6.90,11,10,10,9,9,1000,82,82,3,66,82
50070321,Rodez AF,"DM, M (C)",23,11/12/1999 (23 years old),10,9,12,1042,6.86,7,11,11,12,7,2500,102,124,8,117,104
50070323,Angoulême Charente FC,D (C),24,4/3/1999 (24 years old),13,15,10,1262,6.78,5,12,8,14,10,1050,82,100,5,66,82
50071470,Stade Briochin,"AM (RL), ST (C)",23,14/7/1999 (23 years old),11,8,15,2415,6.91,12,11,11,11,6,1500,92,104,5,66,92
50071707,Brest,"AM (RL), ST (C)",25,21/4/1998 (25 years old),14,13,12,1743,6.71,11,12,12,11,6,3750,129,134,12,161,129
50071938,SR Colmar,"AM (L), ST (C)",24,6/11/1998 (24 years old),11,3,12,3059,7.04,6,7,8,8,8,1400,84,100,6,66,84
50072071,Stade Briochin,M/AM (RC),24,27/8/1998 (24 years old),10,12,14,42,0.00,7,11,11,16,5,950,78,93,5,66,78
50072703,FC Martigues,M/AM (C),33,3/6/1990 (33 years old),13,17,9,136,6.55,9,11,12,15,10,1550,92,94,5,85,84
50072716,Racing Besançon,"DM, M (C)",25,25/12/1997 (25 years old),14,8,9,2437,6.66,6,11,14,11,8,1000,80,97,8,66,80
50072723,FCSR Haguenau,D (L),29,17/2/1994 (29 years old),11,3,11,270,6.93,17,11,12,20,6,950,78,82,4,66,76
50072752,FCSR Haguenau,D (C),27,29/6/1996 (27 years old),11,15,12,469,6.63,4,11,19,18,9,1000,80,89,4,66,80
50072897,Beauvais Oise,D (RL),27,6/4/1996 (27 years old),10,8,12,2234,7.11,5,12,12,17,13,1450,89,97,7,66,89
50072905,FC Rouen,M/AM (LC),28,31/8/1994 (28 years old),15,12,10,768,6.91,12,12,12,11,6,1750,93,104,8,85,91
50073099,Red Star,GK,28,16/5/1995 (28 years old),12,5,10,90,7.70,10,11,11,10,11,1450,88,96,12,85,88
50073165,Blois Foot 41,D (L),30,27/3/1993 (30 years old),11,8,10,2256,6.73,4,9,20,14,5,1050,84,88,5,66,83
50073202,Stade Olympique Romorantinais,ST (C),28,22/5/1995 (28 years old),13,15,12,2080,6.65,4,11,17,7,7,1100,85,88,6,66,85
50073691,Hartlepool,M/AM (C),22,6/4/2001 (22 years old),12,13,12,3465,7.00,9,8,11,14,7,1750,90,126,7,72,97
50073719,Olympique Saumur FC,"AM (C), ST (C)",24,3/9/1998 (24 years old),12,10,10,632,6.72,10,9,11,14,9,1050,84,90,3,66,84
50074145,Voltigeurs Châteaubriant,GK,28,20/1/1995 (28 years old),10,15,9,2340,6.84,11,12,20,19,15,1100,85,88,3,66,85
50074420,Olympique Saumur FC,M (C),25,9/3/1998 (25 years old),8,10,11,0,0.00,3,9,10,13,11,1050,82,90,3,66,81
50074972,RAAL La Louvière,"D (RC), DM",24,11/2/1999 (24 years old),8,13,9,2031,6.78,6,9,11,11,11,1250,87,96,12,85,87
50074991,US Granville,ST (C),28,3/9/1994 (28 years old),9,14,12,2291,6.79,12,11,11,11,10,1450,87,93,3,66,86
50075415,FC Fleury 91,D (C),24,7/8/1998 (24 years old),12,5,7,2402,6.91,11,11,10,8,11,1500,92,100,5,66,92
50076056,Hyères 83 FC,"AM (C), ST (C)",29,3/9/1993 (29 years old),10,9,11,869,6.47,9,10,8,9,8,1100,88,90,5,66,84
50076063,Racing CFF,D (C),23,20/3/2000 (23 years old),9,15,12,540,6.72,11,12,12,17,5,950,76,105,7,66,76
50076071,Jura Sud Foot,"DM, M (C)",24,3/2/1999 (24 years old),12,12,12,444,7.08,12,11,12,14,7,1000,80,98,5,66,80
50076088,FC Chamalières,"D (C), DM",24,26/2/1999 (24 years old),11,14,11,2627,6.80,5,12,17,11,12,750,75,88,3,66,75
50076091,Châteauroux,"D (C), DM",27,8/5/1996 (27 years old),12,11,9,3015,6.73,10,9,11,10,10,1750,96,103,14,85,96
50076100,Chambly,D (RC),31,14/12/1991 (31 years old),10,11,11,587,6.77,7,11,12,16,11,1500,90,96,4,66,82
50076107,UF Mâcon,"AM (RL), ST (C)",29,26/3/1994 (29 years old),12,14,14,2203,7.00,15,11,12,19,12,1450,89,94,2,66,86
50076156,Wasquehal Football,D (C),27,13/7/1995 (27 years old),10,6,10,2065,6.77,12,10,9,10,8,900,72,76,6,66,71
50076164,AF Virois,"M (RL), AM (RLC)",30,30/3/1993 (30 years old),10,15,14,2340,6.93,12,8,12,12,12,1550,93,93,1,66,88
50076173,Dijon,"D (RC), WB (R), DM",30,8/6/1993 (30 years old),14,13,12,2082,6.81,12,13,12,14,8,1750,102,106,15,85,100
50076299,FCSR Haguenau,ST (C),23,2/6/2000 (23 years old),13,4,10,432,6.74,10,10,10,16,12,1150,84,99,4,66,84
50076327,Villefranche Beaujolais,GK,21,14/11/2001 (21 years old),12,17,12,270,7.07,10,11,11,19,5,1400,85,121,5,85,85
50076339,FCM Aubervilliers,D (C),30,1/10/1992 (30 years old),11,14,12,718,6.63,11,9,13,9,10,1050,82,89,5,66,79
50076347,Racing CFF,D/WB (L),28,14/12/1994 (28 years old),15,13,12,1412,6.72,12,12,11,14,8,1750,95,102,7,66,91
50076358,FCM Aubervilliers,M (L),31,13/4/1992 (31 years old),10,10,11,663,6.66,4,10,19,10,6,950,78,83,5,66,74
50076366,US Avranches,ST (C),27,31/5/1996 (27 years old),10,6,12,1757,6.65,9,12,11,14,6,1500,90,103,8,85,90
50076399,RC Grasse,"AM (L), ST (C)",26,29/11/1996 (26 years old),12,5,9,2538,6.88,11,10,12,11,14,900,78,89,3,66,78
50076406,SAS Épinal,"DM, M (C)",25,13/1/1998 (25 years old),10,16,12,694,7.02,11,14,11,16,5,1400,86,91,5,85,86
50076433,Paris 13 Atlético,AM (C),27,24/6/1996 (27 years old),11,6,11,2858,7.06,4,10,10,20,5,1050,82,94,3,66,82
50076962,AS Cannes,"AM (L), ST (C)",22,26/12/2000 (22 years old),12,14,11,2335,6.84,11,12,13,16,13,1050,86,102,11,66,86
50076964,Marignane GCB FC,D (R),24,17/3/1999 (24 years old),11,4,11,616,6.62,9,9,11,20,10,1400,84,96,5,85,84
50077171,US Saint-Malo,D/WB (L),24,30/11/1998 (24 years old),12,7,12,2428,6.57,7,11,12,9,7,1050,85,100,4,66,85
50078507,Guingamp,D (C),28,7/11/1994 (28 years old),15,14,12,1977,6.88,13,12,13,11,8,2500,115,118,14,117,115
50078718,Deinze,ST (C),25,5/12/1997 (25 years old),10,11,13,0,0.00,8,8,7,8,14,2700,91,92,12,96,91
50078802,Avoine Chinon,GK,26,16/8/1996 (26 years old),11,11,12,2430,6.86,18,11,18,15,6,1000,82,91,5,66,82
50078824,Bourges Foot 18,"DM, M (C)",31,19/9/1991 (31 years old),12,11,10,102,6.60,8,11,9,7,9,1050,84,85,5,66,82
50078840,Jura Sud Foot,"D (C), WB (L)",26,24/7/1996 (26 years old),11,15,13,2413,6.93,5,10,9,9,8,1050,82,87,5,66,82
50078897,FC Rouen,"DM, M (C)",32,16/8/1990 (32 years old),16,16,15,2705,6.75,2,11,13,12,9,1500,95,98,8,85,89
50078902,FCSR Haguenau,"D (RL), DM",28,22/5/1995 (28 years old),10,9,11,2520,6.84,11,12,10,20,5,800,76,80,4,66,76
50078905,Angoulême Charente FC,"DM, M (C)",29,11/3/1994 (29 years old),11,2,11,284,6.72,6,12,10,17,6,1050,83,87,5,66,81
50078911,FC Rouen,"AM (RLC), ST (C)",28,7/4/1995 (28 years old),13,6,12,2756,7.09,11,9,11,11,5,1500,90,96,8,85,89
50078916,FC Rouen,M (C),27,18/12/1995 (27 years old),14,14,12,1340,7.08,11,12,11,13,8,1450,88,95,8,85,88
50079002,AS Furiani-Agliani,AM (R),28,7/6/1995 (28 years old),10,4,13,275,6.50,15,12,12,14,11,900,79,86,4,66,78
50079015,Marignane GCB FC,"DM, M (C)",30,20/1/1993 (30 years old),11,10,11,2844,6.62,1,11,11,14,8,1450,89,92,5,85,88
50079927,AS Cannes,M (C),27,16/5/1996 (27 years old),11,14,8,1342,6.92,9,11,20,10,14,1100,85,93,11,66,85
50080046,Red Star,WB/M/AM (L),27,16/9/1995 (27 years old),12,19,12,2537,7.12,13,11,13,15,7,2500,104,112,12,85,104
50081503,FC Fleury 91,"AM (RL), ST (C)",30,11/2/1993 (30 years old),13,6,10,2094,6.69,10,12,12,8,5,1550,95,101,5,66,90
50081542,SAS Épinal,"DM, M (C)",24,2/12/1998 (24 years old),15,13,11,1695,6.71,9,12,10,17,9,1400,84,105,5,85,88
50081564,GOAL FC,"AM (R), ST (C)",24,5/9/1998 (24 years old),8,13,13,921,6.85,7,13,11,11,5,1450,88,96,5,85,88
50081813,GOAL FC,"AM (R), ST (C)",29,12/6/1994 (29 years old),11,7,9,168,7.05,13,12,11,11,6,1450,89,95,5,85,88
50081824,AS Furiani-Agliani,D/WB/M/AM (R),23,2/10/1999 (23 years old),10,14,14,210,7.22,5,9,17,7,9,900,78,96,4,66,78
50081883,Angoulême Charente FC,GK,25,28/12/1997 (25 years old),12,17,12,180,6.85,12,10,12,14,14,800,76,92,5,66,76
50081922,FC Chamalières,D (C),25,21/1/1998 (25 years old),10,6,12,2610,6.79,1,10,10,20,7,1050,82,98,3,66,82
50081929,FC Chamalières,D (C),29,29/11/1993 (29 years old),12,2,12,2610,6.62,16,11,16,18,11,950,79,82,3,66,79
50081934,FC Chamalières,D (L),25,6/10/1997 (25 years old),10,17,11,0,0.00,15,12,9,17,5,1050,82,94,3,66,81
50081957,FC Chamalières,"DM, M (C)",26,22/9/1996 (26 years old),11,13,12,2096,6.73,5,13,16,12,13,1000,82,90,3,66,82
50081969,FC Chamalières,GK,24,16/8/1998 (24 years old),9,14,12,2340,6.58,12,8,20,20,10,1100,84,100,3,66,84
50082007,Olympique Saint-Quentin,GK,30,14/8/1992 (30 years old),9,5,13,2340,6.57,5,12,10,10,9,1050,82,88,5,66,81
50082028,Olympique Saint-Quentin,"DM, M (C)",32,5/11/1990 (32 years old),8,7,10,1587,6.79,16,10,11,14,7,1000,80,83,5,66,67
50082040,Olympique Saint-Quentin,"DM, M (C)",32,17/10/1990 (32 years old),12,18,11,2076,6.86,10,12,9,16,9,1000,81,85,5,66,76
50082048,Olympique Saint-Quentin,M/AM (R),33,17/7/1989 (33 years old),14,14,12,2233,6.83,8,11,19,16,5,1100,84,89,5,66,74
50082060,Fréjus Saint-Raphaël,D (L),26,16/12/1996 (26 years old),9,11,11,2957,7.03,12,12,20,13,8,850,77,84,6,66,77
50082082,Paris 13 Atlético,"D (C), DM",30,2/7/1993 (30 years old),12,14,10,2463,6.96,1,11,14,17,12,1500,90,95,3,66,84
50082092,Paris 13 Atlético,D/WB (L),28,16/10/1994 (28 years old),13,6,11,2677,6.91,10,11,13,13,12,1350,84,88,3,66,82
50082097,Football Club 93 BBG,ST (C),25,16/10/1997 (25 years old),11,12,9,167,7.10,6,11,9,9,12,1000,80,90,5,66,80
50082135,Marignane GCB FC,D (R),27,28/5/1996 (27 years old),12,13,11,2420,6.70,12,13,11,13,8,1450,88,96,5,85,88
50082148,SC Toulon,M (L),23,14/9/1999 (23 years old),11,4,12,2326,7.25,2,14,13,13,14,1000,80,93,8,66,80
50082247,Football Club 93 BBG,D (R),25,24/2/1998 (25 years old),11,16,11,530,6.68,5,10,17,10,10,1000,80,98,5,66,80
50082252,Football Club 93 BBG,D (C),30,19/5/1993 (30 years old),9,14,12,1616,6.82,11,10,9,15,10,1500,91,95,5,66,87
50082872,Orléans,ST (C),27,10/12/1995 (27 years old),11,4,13,1679,6.62,9,12,11,19,11,1500,90,102,7,85,90
50082929,Le Puy Foot 43,WB/M/AM (R),23,2/6/2000 (23 years old),12,14,11,1020,6.78,11,10,11,20,7,950,76,98,5,66,76
50084199,Stade Olympique Romorantinais,D (R),27,13/5/1996 (27 years old),12,13,13,0,0.00,9,9,12,9,13,900,77,89,6,66,77
50084216,Créteil,GK,23,15/5/2000 (23 years old),8,9,10,270,6.67,4,13,10,11,8,1000,82,98,10,66,82
50084296,Feirense,ST (C),31,27/7/1991 (31 years old),14,10,9,0,0.00,12,9,9,19,7,2400,103,112,16,104,102
50084412,FC Libourne,D (C),23,9/7/1999 (23 years old),12,10,8,1758,6.63,2,13,10,8,15,1000,80,85,4,66,80
50084442,Bourg-Péronnas,GK,32,22/5/1991 (32 years old),12,13,10,555,6.71,11,12,18,13,7,550,71,78,7,66,71
50084450,AS Cannes,D (C),23,9/10/1999 (23 years old),9,13,12,2513,6.89,6,11,10,8,6,1250,87,109,11,66,87
50084771,Stade Briochin,M/AM (RC),24,10/9/1998 (24 years old),13,13,12,1561,6.99,6,11,11,9,7,1450,87,107,5,66,87
50084895,RAAL La Louvière,D/WB (L),23,10/1/2000 (23 years old),9,6,13,2739,6.87,15,12,11,14,10,1500,90,97,12,85,90
50084997,Créteil,"D (C), DM",31,5/2/1992 (31 years old),13,4,13,18,6.70,17,12,10,20,7,1050,82,85,10,66,79
50085005,Vitória de Guimarães B,D (C),21,14/12/2001 (21 years old),11,15,12,1196,6.76,13,8,10,14,7,2750,98,132,14,86,98
50085015,SR Colmar,D (L),23,6/5/2000 (23 years old),9,14,9,309,7.12,13,11,20,14,15,1000,80,105,6,66,80
50086027,RWDM,"AM (RL), ST (C)",25,26/8/1997 (25 years old),12,6,8,1726,6.52,12,13,14,7,12,3750,113,113,11,147,113
50086030,SAS Épinal,"D (C), DM",25,5/12/1997 (25 years old),11,5,10,3330,6.57,10,12,11,7,5,1450,89,99,5,85,89
50086038,FCSR Haguenau,M/AM (C),23,10/1/2000 (23 years old),12,10,10,2034,7.01,9,10,12,12,7,1050,84,102,4,66,84
50086051,Olympique Saint-Quentin,GK,27,26/8/1995 (27 years old),13,15,11,180,6.45,14,11,10,19,7,650,73,79,5,66,73
50086099,GOAL FC,GK,25,8/8/1997 (25 years old),9,18,12,270,7.27,6,11,10,9,10,950,78,92,5,85,78
50086154,FC Chamalières,ST (C),29,13/6/1994 (29 years old),11,12,9,2390,6.81,4,10,10,19,10,1050,82,85,3,66,81
50086225,Fréjus Saint-Raphaël,D (C),27,26/6/1996 (27 years old),12,16,14,2878,6.74,12,11,9,9,12,1050,84,96,6,66,84
50086230,RC Grasse,"DM, M (C)",29,8/9/1993 (29 years old),13,15,13,2477,6.96,6,11,9,19,15,1150,88,88,3,66,85
50087598,Football Club 93 BBG,"DM, M (C)",30,9/10/1992 (30 years old),11,4,14,1635,6.83,7,12,11,19,7,1000,80,87,5,66,79
50087614,Beauvais Oise,D/WB (L),23,19/4/2000 (23 years old),10,16,12,695,6.76,7,12,20,15,6,1050,83,92,7,66,83
50087711,Blois Foot 41,D (C),21,7/10/2001 (21 years old),13,14,13,1388,6.68,10,13,10,14,4,850,77,100,5,66,77
50087734,Créteil,ST (C),27,22/12/1995 (27 years old),11,10,12,1387,6.97,1,10,11,11,12,1750,94,102,10,66,93
51013463,Fulham,ST (C),32,5/5/1991 (32 years old),17,16,10,916,6.92,11,13,13,10,11,6100,135,155,16,185,126
51013526,Kalamata,M/AM (RL),31,26/3/1992 (31 years old),12,12,12,1579,7.04,12,9,12,12,5,2500,110,115,6,91,104
51013662,Cacereño,"DM, M (C)",31,9/3/1992 (31 years old),11,10,12,3127,7.07,2,9,12,13,9,2250,95,112,8,73,94
51031039,AEK,AM (LC),29,15/2/1994 (29 years old),10,8,8,581,7.05,12,9,9,8,7,3750,120,155,14,130,118
51031137,Panachaiki,ST (C),30,28/4/1993 (30 years old),13,10,12,2478,6.91,9,11,8,19,8,1500,95,105,6,91,94
51042313,PSV Eindhoven,"AM (RL), ST (C)",27,30/7/1995 (27 years old),16,12,14,2928,6.97,13,11,12,10,13,6350,138,153,18,160,138
51052239,AEK,"M (C), AM (LC)",27,24/3/1996 (27 years old),15,13,13,2482,7.24,12,13,12,15,6,4750,135,140,14,130,134
51054011,West Ham,"D (C), DM, M (C)",25,24/10/1997 (25 years old),14,13,13,2706,6.82,15,12,15,13,4,6250,151,155,14,185,151
51054018,Panachaiki,D (C),25,5/3/1998 (25 years old),11,4,10,1992,6.70,6,9,13,20,12,1500,95,115,6,91,95
51055610,Almería,D (C),26,24/2/1997 (26 years old),15,15,12,3195,6.72,14,11,13,11,14,6250,138,148,14,178,138
51055700,Rabo de Peixe,AM (RL),27,10/8/1995 (27 years old),11,13,12,2170,7.29,9,8,8,14,10,2750,104,107,10,86,103
51055821,Porto,"D (RL), WB (R)",25,10/12/1997 (25 years old),13,15,13,1305,6.91,9,11,13,12,7,5450,129,140,16,158,130
51067233,Ibiza,M/AM (RL),25,31/10/1997 (25 years old),16,12,11,1897,7.45,12,12,13,15,6,3700,114,125,11,87,114
51067636,Genoa,D (LC),24,22/10/1998 (24 years old),12,13,12,3196,6.73,15,12,14,12,7,5100,131,140,16,173,133
51067947,Feyenoord,ST (C),22,18/4/2001 (22 years old),14,15,16,3496,6.97,15,13,12,14,6,5000,141,155,17,160,147
52001886,Yeovil Town,D/WB (R),34,4/9/1988 (34 years old),14,16,12,3613,6.99,12,12,15,15,7,3000,101,116,7,46,92
52012231,Stockport County,"AM (C), ST (C)",33,4/3/1990 (33 years old),15,15,15,3389,7.17,14,12,13,14,8,2900,98,112,13,85,95
52012309,Stoke,D/WB (L),32,9/7/1990 (32 years old),11,11,13,2817,6.77,12,10,16,12,6,5000,117,137,16,134,108
52014383,Wrexham,"D/WB (L), M/AM (RL)",34,22/4/1989 (34 years old),10,13,14,2793,6.56,10,10,12,13,8,4500,111,135,12,85,100
52014865,Leeds Utd,"D (RL), M (RLC), AM (RL)",32,19/4/1991 (32 years old),18,19,14,2207,6.78,16,10,16,14,13,5750,131,149,18,134,128
52014987,Accrington Stanley,"DM, M (C)",34,9/7/1988 (34 years old),15,16,15,3281,6.64,13,12,14,10,6,2250,88,111,7,85,78
52025487,Mansfield,D/WB/M/AM (L),33,14/6/1990 (33 years old),13,14,13,537,6.59,13,9,12,14,6,2250,99,118,10,85,86
52026701,Shrewsbury,"DM, M (C)",30,12/4/1993 (30 years old),12,8,7,2604,6.66,10,10,12,13,4,2500,100,112,12,107,98
52032335,Wolves,D/WB (R),31,16/1/1992 (31 years old),13,14,12,1075,6.72,12,13,15,12,10,5700,136,152,17,185,126
52032604,Rochdale,"D/WB (RL), DM, M (C)",32,22/1/1991 (32 years old),14,8,8,2427,6.79,13,9,14,12,15,2000,81,102,9,72,70
52033331,Torquay United,"DM, M (C)",33,30/6/1990 (33 years old),15,15,12,437,6.79,13,14,12,18,16,2000,73,110,9,46,67
52048002,Carlisle,"AM (L), ST (C)",29,1/5/1994 (29 years old),13,15,14,2673,6.93,13,12,13,12,13,3500,110,125,10,107,110
52058545,Cheltenham,D (RC),28,2/5/1995 (28 years old),12,12,12,2846,6.55,10,10,12,10,10,1900,91,108,8,107,92
52058629,Exeter City,D (RC),28,11/9/1994 (28 years old),16,13,12,3330,6.79,14,11,15,12,4,2750,98,100,8,107,98
52061317,Guingamp,D/WB/M (L),28,8/12/1994 (28 years old),13,13,11,354,6.77,9,11,11,15,5,2750,105,119,14,117,105
52061367,Newport County,D (C),26,6/9/1996 (26 years old),9,12,15,3376,6.82,8,11,9,12,8,1900,88,95,6,85,88
52064664,Southampton,D/WB (L),27,14/6/1996 (27 years old),10,14,13,3250,6.86,13,15,11,15,3,3500,127,132,19,134,127
52064763,Preston,"DM, M/AM (C)",28,15/4/1995 (28 years old),14,12,11,2684,6.63,10,10,13,12,9,3500,120,125,16,134,120
52070703,Portsmouth,AM (R),27,31/1/1996 (27 years old),13,12,10,2844,6.98,14,10,11,16,6,3750,108,126,14,107,108
52071095,Cheltenham,"DM, M (C)",27,3/7/1996 (26 years old),20,14,17,2501,6.76,13,17,13,13,7,1900,85,105,8,107,87
52071817,Bristol City,"WB (R), M/AM (RC)",25,4/8/1997 (25 years old),14,18,16,2817,6.96,12,15,12,16,2,3250,119,120,16,134,120
52075470,Swindon Town,D (C),25,11/4/1998 (25 years old),14,12,13,3081,6.73,8,12,12,14,7,2500,98,118,10,85,99
52075471,Hull City,D (LC),26,13/11/1996 (26 years old),17,15,15,1622,6.81,10,15,14,15,5,2500,113,120,14,134,114
52077463,Lincoln City,D (C),25,14/7/1997 (25 years old),15,15,13,3490,6.75,14,13,16,11,7,2500,103,115,12,107,103
