Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,Margin,Training facilities,Div Rep,Growth
M/AM (RL),20.62696783025325,10,15,11,624,6.67,17,11,12,17,15,2150,96,33,11,160,0
"D (C), DM, M (C)",22.414784394250514,8,14,10,482,6.98,5,9,12,7,6,2100,101,20,14,110,1
D/WB/M (R),22.392881587953458,12,11,11,626,6.76,2,11,13,15,14,2750,105,18,9,160,0
"M (R), AM (RLC)",21.93839835728953,11,10,11,2144,7.16,16,12,12,19,7,3600,116,13,15,160,3
"D (C), DM, M (C)",21.023956194387406,9,10,11,757,6.75,9,12,13,20,5,2350,102,20,13,160,0
"M (L), AM (RL)",21.49760438056126,9,10,13,63,7.6,12,12,12,13,6,2400,100,11,13,160,0
D/WB/M/AM (L),20.424366872005475,8,10,11,0,0.0,4,7,11,9,13,1600,84,33,11,110,0
GK,21.21286789869952,14,12,10,0,0.0,8,11,20,17,5,1750,82,47,12,160,0
"D/WB (RL), DM, M (C)",22.288843258042437,14,9,10,380,6.72,4,11,20,16,5,1750,95,20,9,110,1
"AM (C), ST (C)",24.027378507871322,13,9,9,158,6.7,2,10,14,9,6,2750,104,5,11,160,0
D (C),21.13347022587269,10,8,12,0,0.0,10,11,11,13,6,1000,70,39,12,160,0
M/AM (LC),20.12046543463381,12,10,11,0,0.0,1,11,12,13,14,2500,94,18,12,160,-2
"D (RC), WB (R), DM",21.437371663244353,12,10,12,340,6.62,8,11,10,9,6,2300,96,20,14,87,0
"M (L), AM (LC)",20.637919233401778,9,9,9,0,0.0,11,13,9,7,7,1500,75,31,12,160,2
GK,20.098562628336754,10,10,11,0,0.0,10,11,11,17,9,2250,88,21,18,134,2
"D (LC), DM",20.413415468856947,12,14,10,1161,6.71,11,9,9,16,5,2000,98,20,9,110,2
"D/WB/M (L), AM (RL)",19.82751540041068,12,12,11,1199,6.8,8,11,10,12,7,3250,105,15,18,160,0
GK,21.377138945927445,10,9,11,0,0.0,11,10,12,13,10,1750,90,5,11,110,0
"D (C), DM",20.810403832991103,10,11,12,854,6.63,13,13,12,18,10,1650,92,26,8,110,0
D/WB (R),21.39082819986311,12,16,13,32,6.7,2,14,13,18,5,1250,80,25,8,110,0
ST (C),21.144421629021217,7,7,12,0,0.0,11,11,10,7,5,2500,98,22,18,160,0
D (C),20.112251882272417,10,11,10,759,6.79,11,9,12,12,10,3500,115,35,18,134,3
AM (RL),18.56810403832991,10,12,11,1530,6.91,5,13,10,16,14,2250,95,55,18,160,8
D (C),20.177960301163587,12,9,10,0,0.0,5,8,9,13,6,1250,80,15,10,110,0
D (RC),20.10130047912389,12,10,11,22,6.6,11,10,9,15,7,1600,76,18,12,160,2
M (C),20.227241615331966,12,10,11,5,0.0,12,11,11,20,2,1750,90,15,12,160,0
M (C),20.468172484599588,12,11,12,0,0.0,7,9,11,11,15,2250,97,28,18,160,2
"M (C), AM (LC)",20.22450376454483,13,9,10,136,6.55,10,9,11,18,13,1750,93,2,15,110,0
AM (RLC),20.366872005475702,9,9,10,0,0.0,8,10,11,11,5,1900,88,8,12,110,0
M/AM (RC),20.476386036960985,10,12,10,1056,6.86,4,10,13,18,5,2000,99,19,10,110,1
D (C),18.661190965092402,12,10,10,13,0.0,8,11,10,12,13,1000,72,35,16,110,8
D/WB (L),19.4031485284052,11,11,11,933,6.96,8,12,20,16,14,2150,100,4,16,110,0
"D (LC), WB (L), DM",19.444216290212182,12,11,14,25,0.0,6,11,18,11,12,1250,77,14,16,110,0
M (C),19.342915811088297,9,10,8,0,0.0,13,8,12,11,8,1150,70,46,16,110,5
"AM (C), ST (C)",18.902121834360027,11,12,9,108,6.45,10,11,7,9,8,500,65,28,9,110,6
"DM, M (C)",18.811772758384667,10,10,9,457,6.97,14,11,13,11,5,2100,93,36,16,110,9
"AM (C), ST (C)",18.836413415468858,11,12,12,771,7.13,13,12,12,11,5,1300,78,46,16,110,10
"AM (R), ST (C)",19.488021902806295,9,11,12,1089,6.74,13,12,16,16,4,1900,98,30,16,110,7
M/AM (RL),19.069130732375086,8,11,10,258,6.93,5,13,10,12,5,1600,93,3,16,110,0
D (C),21.470225872689937,10,14,11,3510,6.68,11,11,12,9,5,3250,108,21,12,160,7
D (C),21.352498288843258,13,11,13,418,6.67,7,10,20,13,6,2500,104,14,12,160,1
GK,20.829568788501028,9,8,9,0,0.0,6,12,11,18,6,600,70,18,12,110,0
"DM, M (C)",21.152635181382614,12,11,12,3033,6.75,3,10,12,9,4,2250,101,22,8,110,3
"D/WB (R), DM",20.36413415468857,10,11,9,2324,6.73,11,11,20,11,10,1500,94,25,17,160,3
ST (C),20.372347707049965,11,9,13,0,0.0,3,9,9,10,7,1000,80,25,14,110,0
GK,20.306639288158795,14,10,14,0,0.0,9,9,10,12,13,1600,90,24,17,160,1
"D (LC), WB (L)",20.40246406570842,9,10,10,108,6.75,11,9,11,7,8,1850,86,18,14,110,1
"D (LC), DM, M (C)",19.49075975359343,13,12,10,218,6.68,11,14,8,7,6,2250,107,34,20,185,1
M (C),19.849418206707735,13,3,11,0,0.0,1,11,7,19,7,650,67,8,12,160,0
ST (C),20.31211498973306,12,9,11,0,0.0,2,12,11,16,8,1000,78,12,8,110,0
"D (C), DM, M (C)",20.238193018480494,12,12,13,375,7.0,12,13,11,7,10,3000,103,25,11,160,1
D (C),20.33675564681725,9,10,11,0,0.0,14,12,20,17,7,1500,85,9,12,160,0
D (C),20.38877481177276,10,3,3,0,0.0,9,5,11,17,7,1100,80,17,8,110,0
ST (C),20.424366872005475,10,8,9,45,6.4,12,11,7,13,6,1000,81,20,15,110,0
GK,19.720739219712527,11,8,10,0,0.0,10,11,10,20,10,1300,80,25,15,110,1
"WB (RL), M (RLC), AM (C)",20.147843942505133,12,17,10,1377,6.83,2,10,7,17,8,2250,98,31,12,110,15
"D (RL), WB (R)",19.619438740588638,10,8,13,198,6.7,6,4,10,17,7,1550,94,29,12,110,0
D (C),20.49281314168378,10,8,14,0,0.0,5,11,15,11,7,1000,78,8,12,110,0
M (C),20.449007529089666,11,8,12,0,0.0,10,15,10,11,10,1150,80,21,12,110,2
AM (RL),20.427104722792606,13,16,14,0,0.0,8,11,9,20,5,750,65,30,10,110,6
AM (L),19.978097193702943,10,8,8,1144,6.67,9,12,10,17,6,1650,93,20,17,160,0
AM (RL),19.633127994524298,10,8,11,0,0.0,8,12,11,11,14,850,70,17,9,160,2
ST (C),19.942505133470227,10,15,8,2584,6.8,12,10,10,16,12,2850,112,25,18,160,4
"D (RC), DM, M (C)",21.232032854209447,11,16,11,2844,7.02,12,9,12,20,12,3250,108,21,12,110,7
"DM, M (C)",21.21286789869952,12,12,11,2880,7.0,14,13,14,13,7,3350,109,22,11,160,5
"D (LC), WB (L), DM",21.492128678986994,11,7,9,2933,6.78,5,9,8,15,7,2250,108,16,11,160,0
"D (C), DM, M (C)",19.143052703627653,11,12,12,906,6.97,8,10,10,20,10,2250,98,27,18,160,2
"DM, M/AM (C)",20.59958932238193,10,8,9,0,0.0,12,12,9,19,10,1000,70,30,10,110,0
"DM, M (C)",21.062286105407257,10,14,10,45,6.9,4,10,17,11,5,2100,96,21,11,160,0
D/WB (R),20.355920602327174,11,11,10,1026,6.84,14,12,12,19,3,2400,105,16,18,160,0
"DM, M (C)",20.306639288158795,13,10,10,1641,6.76,11,8,13,16,13,2000,97,21,18,160,3
GK,20.383299110198493,11,10,13,2575,6.81,13,7,20,15,12,1750,90,22,18,160,9
D (RLC),20.202600958247775,10,12,10,54,6.6,9,11,10,13,6,1150,78,25,12,110,0
D (RLC),20.418891170431213,10,16,12,0,0.0,11,10,11,10,10,1250,75,28,12,110,0
D (LC),20.2217659137577,12,11,14,3252,6.92,11,9,6,17,15,2000,98,30,18,160,10
"D (RC), WB (R), DM",20.32854209445585,11,11,11,159,6.8,7,13,10,20,5,2000,92,28,18,160,1
"M (C), AM (L)",20.31211498973306,10,10,13,37,6.6,10,10,12,19,14,1600,80,23,9,110,0
ST (C),20.670773442847366,10,16,8,0,0.0,8,11,12,12,12,500,58,23,8,110,1
M/AM (RLC),19.912388774811774,10,8,13,7,0.0,1,12,10,8,5,1250,70,23,11,160,3
D (RL),22.04791238877481,13,9,10,1969,6.69,3,10,20,8,5,1750,93,12,8,110,0
M (C),20.030116358658454,10,12,11,22,6.6,9,12,10,11,5,750,67,15,11,110,1
GK,21.136208076659823,10,8,11,515,7.15,6,11,13,17,12,900,75,18,11,160,4
M/AM (LC),21.585215605749486,12,12,11,0,0.0,9,12,12,20,16,1900,92,18,17,160,0
AM (RLC),20.83778234086242,14,9,11,514,6.6,3,13,6,9,6,1600,92,18,8,110,1
AM (RL),21.683778234086244,13,15,14,0,0.0,12,8,7,12,6,1500,89,16,10,110,-1
"DM, M (C)",19.969883641341546,11,9,12,670,6.81,11,12,12,12,13,1950,93,19,11,110,3
M (C),19.964407939767284,11,8,10,0,0.0,10,13,10,20,8,1000,67,23,12,160,8
D (C),20.301163586584533,14,12,10,1686,6.88,8,11,10,9,8,2350,99,15,10,110,4
D/WB/M/AM (R),20.32854209445585,10,8,11,20,7.0,3,9,12,10,7,1500,82,5,11,160,0
"DM, M (C)",19.876796714579054,12,8,13,8,0.0,7,11,8,13,5,2400,78,37,16,173,4
"DM, M (C)",20.123203285420946,10,5,8,0,0.0,7,13,16,7,7,1500,76,29,11,160,1
ST (C),20.249144421629023,12,9,11,31,7.7,6,11,13,17,8,2100,90,14,10,160,0
ST (C),20.410677618069816,12,14,14,3080,7.53,7,13,11,13,8,3500,129,25,12,161,17
GK,19.88501026694045,10,9,10,0,0.0,1,10,9,16,8,850,75,16,11,110,0
M/AM (C),19.578370978781656,13,9,10,119,6.4,6,11,20,10,7,1900,90,13,18,160,1
ST (C),18.43394934976044,15,15,17,2513,6.99,7,12,12,15,3,2750,110,43,18,160,3
D (C),18.376454483230663,11,12,12,1877,6.81,15,11,13,11,11,3250,107,29,18,160,0
GK,20.78302532511978,12,17,11,3549,6.88,14,12,12,7,5,1500,92,15,10,110,9
AM (RL),20.45448323066393,12,8,12,0,0.0,1,13,10,10,15,750,85,9,12,110,0
D (RC),36.59411362080767,14,13,12,1502,6.71,13,13,11,14,8,2500,98,27,5,66,-11
GK,29.100616016427104,8,12,13,3150,6.81,12,13,12,12,8,2500,105,5,7,130,0
"DM, M (C)",28.043805612594113,16,11,10,711,6.78,13,9,13,11,8,4850,114,10,11,120,-2
"M (R), AM (RLC)",26.11362080766598,8,12,16,2435,6.77,14,10,12,15,8,5500,137,8,18,173,0
"DM, M/AM (C)",25.812457221081452,12,12,13,2669,6.85,11,11,14,12,12,4500,127,5,16,125,0
GK,34.03696098562629,15,12,12,3060,6.71,12,13,12,15,4,2500,105,5,6,130,-4
M/AM (RL),32.681724845995895,16,14,16,57,6.75,14,13,11,12,13,5250,126,20,16,185,-5
"D/WB (L), M (LC)",31.21423682409309,13,13,14,305,6.73,11,13,13,13,8,3750,105,15,11,130,-1
ST (C),34.41478439425051,16,12,16,706,6.62,13,12,12,18,16,5000,118,19,12,147,-7
D (LC),30.38740588637919,15,12,16,1756,6.76,11,12,15,15,13,4000,120,5,13,130,1
ST (C),30.203969883641342,12,13,12,99,6.65,13,10,11,10,10,4000,105,13,10,125,-1
ST (C),29.149897330595483,10,7,11,1889,6.79,12,11,8,9,7,1750,95,5,16,80,0
D (RC),28.396988364134156,13,12,14,207,6.9,12,12,11,12,7,3950,110,6,11,120,0
"AM (RLC), ST (C)",28.45448323066393,14,12,13,144,7.1,12,10,11,13,8,4250,109,11,14,110,-2
AM (RL),24.59958932238193,13,14,11,0,0.0,16,12,9,15,5,3750,120,3,12,147,0
D/WB (R),25.240246406570844,14,15,12,1081,6.78,14,12,15,15,6,4250,120,10,15,160,0
"D (R), DM, M (C)",30.64476386036961,12,16,11,3024,6.67,11,11,14,15,10,2000,79,9,11,85,-1
AM (RLC),24.134154688569474,14,13,14,2156,6.8,12,12,10,13,10,4750,122,18,15,134,4
ST (C),25.141683778234086,14,14,12,389,6.61,13,12,14,15,8,1750,114,11,14,125,2
GK,23.310061601642712,10,14,9,2516,6.79,12,13,8,8,8,3350,117,28,11,104,0
M/AM (RC),24.692676249144423,12,17,13,2657,6.94,10,10,12,14,7,3750,113,4,9,160,0
"DM, M (C)",22.759753593429156,13,12,12,426,6.84,10,13,13,14,5,3500,110,25,11,125,0
D/WB (L),23.512662559890487,12,10,11,1707,6.89,14,9,11,5,5,3750,105,10,15,110,0
GK,21.71937029431896,13,15,12,0,0.0,13,14,14,15,5,3500,119,29,11,185,0
M (C),21.311430527036276,14,14,14,2736,6.84,12,12,13,13,8,4500,120,28,10,120,5
M/AM (RL),23.143052703627653,11,12,15,994,6.89,8,10,13,11,6,2750,112,18,10,120,4
"DM, M/AM (C)",20.279260780287473,16,16,16,1758,6.64,13,13,13,15,5,4250,120,28,12,125,12
"M (C), AM (LC)",20.229979466119097,16,16,16,2548,6.8,14,14,12,16,8,2500,128,16,16,161,8
M/AM (RLC),19.44147843942505,14,13,14,1893,7.1,3,12,12,14,4,4250,121,26,18,160,0
ST (C),22.428473648186174,11,2,12,385,6.69,9,9,15,15,7,750,95,16,12,96,0
GK,32.68446269678302,6,10,10,1196,6.74,10,9,9,13,6,2500,100,15,5,91,-4
"DM, M (C)",26.781656399726216,13,13,12,2410,6.93,14,11,14,12,5,5250,110,15,11,130,0
"AM (RL), ST (C)",27.381245722108144,12,15,14,1752,6.63,14,10,14,14,12,5500,125,10,13,173,0
D (C),27.19233401779603,11,11,12,0,0.0,11,8,10,10,12,1750,80,20,5,91,0
GK,25.136208076659823,14,1,10,0,0.0,9,10,11,17,8,1800,91,8,12,94,0
"D (C), DM, M (C)",23.129363449691994,14,11,10,2976,6.84,13,10,14,12,12,4250,123,14,17,147,0
D/WB (L),21.1854893908282,12,11,14,1080,6.95,11,10,14,9,8,3750,110,25,15,130,-2
D (C),33.86447638603696,12,15,11,3270,6.72,13,15,14,15,6,4100,112,9,13,120,-7
D (C),36.219028062970565,16,15,13,266,6.73,15,13,14,10,8,4750,99,33,12,80,-11
"DM, M (C)",36.09308692676249,18,18,16,3083,6.9,14,11,13,14,7,4950,99,36,10,80,-3
D (C),34.770704996577685,11,13,11,2387,6.54,13,11,11,14,8,4250,86,32,8,80,-11
"AM (RL), ST (C)",32.60780287474333,12,13,13,2915,6.7,12,11,10,8,5,4250,106,12,10,80,-9
D (C),33.41820670773443,14,14,12,3175,6.7,13,15,13,13,11,3400,100,15,8,80,-7
"DM, M (C)",34.26694045174538,14,17,11,773,6.85,14,14,11,11,6,1850,89,15,8,80,-8
GK,32.539356605065024,15,18,10,3112,6.73,12,7,12,5,3,3550,114,5,12,120,-2
M/AM (C),33.25119780971937,14,14,11,3029,6.81,9,12,12,17,9,3850,95,23,8,80,-7
D (LC),33.18001368925393,14,15,15,2356,6.89,14,12,11,15,6,4750,115,25,13,120,-5
D (C),34.10266940451746,15,14,12,0,0.0,12,12,12,14,10,3500,92,27,18,173,-9
M/AM (R),35.17864476386037,15,14,13,2476,6.67,12,12,11,12,13,3750,96,49,10,87,-11
D (LC),33.686516084873375,17,16,15,1483,6.81,16,10,14,16,8,3700,110,10,14,120,-6
D (C),34.27789185489391,14,14,14,1361,6.62,13,11,15,13,15,4250,112,8,10,120,-11
AM (RL),35.43326488706366,12,10,16,26,0.0,13,12,11,14,12,4000,104,26,12,80,-11
GK,34.554414784394254,18,17,18,210,6.65,12,12,10,10,7,3450,107,13,18,120,-3
AM (RLC),34.001368925393564,14,9,12,3253,6.92,8,9,12,13,10,2700,98,12,6,80,-10
"AM (RC), ST (C)",33.35797399041752,16,17,14,3357,7.18,15,13,14,15,5,4500,104,28,12,80,-3
D (C),33.65092402464066,9,12,11,3549,6.73,11,11,13,11,7,2600,103,17,7,80,-7
"AM (RL), ST (C)",34.469541409993155,16,13,12,2248,6.83,12,14,13,12,6,1450,101,6,5,80,-7
D (RLC),36.257357973990416,15,15,13,3173,6.75,13,11,15,11,8,3350,104,31,8,80,-11
GK,35.351129363449694,20,15,11,2729,6.65,8,13,12,15,7,1850,116,5,14,120,-2
D (C),35.110198494182065,14,14,16,2595,6.79,12,10,15,14,9,5500,135,17,14,185,-10
"D (RC), WB (R)",34.06160164271047,17,16,14,3002,6.75,14,14,15,12,4,2650,94,16,10,80,-6
D (C),33.03764544832307,9,10,13,3745,6.92,13,10,13,20,8,4200,104,8,12,80,-7
D/WB (R),35.07460643394935,15,15,11,1145,6.84,14,11,15,10,5,4000,115,5,8,120,-11
"M (C), AM (RLC)",33.65366187542779,14,11,18,1785,6.88,12,11,12,12,8,2450,95,24,5,80,-9
"DM, M (C)",33.75770020533881,17,17,13,1819,6.71,11,13,13,8,12,2750,105,37,8,80,-7
D (RC),34.48049281314169,18,13,11,2896,6.65,15,13,12,11,6,2300,97,18,8,80,-4
GK,33.29774127310061,8,18,7,180,6.5,11,8,11,12,4,4500,107,15,18,173,-6
"DM, M (C)",33.817932922655714,10,14,9,1609,6.78,13,10,13,14,13,2500,98,34,6,80,-12
D/WB/M/AM (RL),33.828884325804246,15,17,13,3114,6.85,13,13,12,12,5,3750,106,13,14,80,-9
D (C),33.82614647501711,9,12,11,0,0.0,10,13,10,19,5,1250,88,10,7,80,-9
M/AM (C),33.86173853524983,19,16,16,3430,7.02,14,16,15,12,10,5750,145,8,20,173,-5
D (C),34.53251197809719,15,14,13,1249,6.76,13,14,14,12,7,2600,106,12,7,80,-9
M (C),35.14579055441479,14,14,14,2679,6.85,12,11,12,20,4,2650,103,24,6,80,-11
D/WB/M (L),34.36824093086927,13,13,12,189,6.83,13,10,12,13,14,2750,94,11,6,80,-11
"D (RLC), WB (RL)",33.91375770020534,12,10,11,2144,6.85,12,13,12,11,10,3600,99,19,12,80,-8
GK,34.31622176591376,14,12,12,3540,6.68,12,10,12,13,4,3500,95,15,5,80,-3
ST (C),34.332648870636554,15,13,12,0,0.0,14,15,11,13,13,1750,84,21,9,80,-11
"AM (RL), ST (C)",33.83983572895277,14,12,14,0,0.0,13,8,13,10,4,3400,103,12,18,173,-11
GK,32.969199178644764,15,13,15,285,6.62,11,9,12,11,7,3950,107,23,8,120,-5
"AM (LC), ST (C)",33.17453798767967,16,16,14,916,6.74,12,14,14,10,12,3000,103,18,12,80,-10
"DM, M (C)",36.03285420944559,15,14,13,2884,6.98,12,12,15,14,6,3950,106,9,13,80,-11
"D/WB (R), M (RC)",33.64544832306639,12,14,12,1896,6.92,13,12,13,10,12,4250,108,12,12,80,-10
D (C),34.5160848733744,12,13,12,2333,6.66,12,12,12,11,7,3850,103,3,7,80,-11
ST (C),34.59822039698837,17,16,15,2923,6.82,10,12,14,10,14,5250,123,17,14,173,-4
D (LC),32.41615331964408,16,15,15,3156,6.77,16,12,16,12,6,5250,133,4,10,173,-4
"DM, M (C)",32.114989733059545,12,13,13,3021,6.68,14,10,12,15,13,5400,111,24,7,80,-9
ST (C),32.28747433264887,14,17,14,0,0.0,13,10,12,14,15,5100,117,28,10,173,-6
ST (C),32.5886379192334,15,13,12,16,7.3,14,11,12,13,4,2800,111,14,13,120,-6
D/WB/M (R),31.68788501026694,15,14,13,1077,6.69,13,13,15,12,9,5250,129,13,20,173,-3
GK,33.46748802190281,14,12,15,0,0.0,16,11,14,12,2,3500,106,19,13,173,-3
D (C),33.39630390143737,13,18,15,632,6.76,13,11,12,13,6,2700,98,22,10,80,-4
D (C),31.121149897330596,13,13,14,212,6.87,14,13,14,11,12,4900,111,15,12,120,-1
"DM, M (C)",31.025325119780973,13,12,10,2814,6.81,11,12,9,6,10,1950,104,5,6,120,-6
"D (C), DM",31.378507871321013,11,13,12,18,6.7,13,13,13,6,11,3500,105,15,11,120,-5
ST (C),31.32375085557837,10,11,13,3446,7.1,14,11,14,12,3,3500,119,11,13,120,-3
ST (C),33.11430527036276,20,18,16,391,6.87,12,12,12,18,5,3150,128,2,10,173,0
D (C),34.30527036276523,12,14,9,770,6.92,12,11,10,13,7,1950,93,12,6,80,-11
D (C),33.190965092402465,12,15,11,1232,6.67,12,11,12,8,8,1250,101,4,7,80,-8
ST (C),32.78850102669404,13,17,14,3103,6.73,12,14,13,12,9,1400,103,6,7,80,-7
"DM, M/AM (C)",32.580424366872,14,15,15,2914,7.01,15,15,10,14,10,5150,104,41,14,80,-7
"DM, M (C)",33.51403148528405,12,8,10,2611,6.93,10,8,12,11,8,3950,123,7,17,120,-9
M (C),33.95482546201232,12,13,15,1439,6.74,13,11,14,12,13,2500,96,22,5,80,-10
ST (C),33.36344969199179,20,20,15,3499,6.77,10,12,14,6,12,7250,150,15,18,173,-3
GK,33.31143052703628,12,10,10,1071,6.73,13,11,8,10,10,2300,87,20,5,80,-4
"D (RC), WB (R)",33.18822724161533,12,13,13,2206,6.81,13,15,13,12,7,3750,119,5,11,117,-12
WB/M/AM (RL),32.37234770704997,13,12,11,717,6.75,12,12,11,12,9,4750,112,17,11,120,-7
D/WB/M (L),31.49349760438056,14,12,14,271,6.61,12,10,13,10,11,2550,96,20,5,80,-5
D (C),32.41067761806981,14,13,13,3253,6.94,12,10,11,10,6,3200,106,14,13,80,-3
ST (C),31.430527036276523,11,10,10,13,0.0,12,8,13,10,6,3750,112,13,11,120,-3
D (C),32.323066392881586,12,15,13,2784,6.79,13,11,14,9,5,3400,114,14,5,80,-10
"M (R), AM (RL)",34.12731006160164,15,12,12,2509,6.87,13,11,12,12,9,3800,100,15,13,80,-11
"DM, M (RC)",33.100616016427104,10,13,12,19,6.8,13,14,13,10,6,2050,91,13,9,80,-8
ST (C),35.90691307323751,15,17,17,1701,6.52,15,13,12,14,13,5400,126,19,10,173,-10
D/WB/M (L),30.220396988364133,12,13,11,1086,6.61,11,12,13,10,12,1450,99,6,7,80,-5
"AM (RL), ST (C)",34.039698836413415,9,10,14,716,6.62,13,9,10,15,8,6750,138,32,16,161,-11
D (C),33.39356605065024,15,13,14,2021,6.74,12,12,14,10,7,4950,126,6,12,173,-7
D (C),35.39219712525667,19,19,19,3677,6.99,16,15,14,10,2,6500,152,3,18,173,-3
D (LC),34.89664613278576,10,13,12,3045,6.91,12,12,14,6,8,2850,94,11,8,80,-11
D/WB/M (R),34.757015742642025,18,14,12,2995,7.04,14,12,17,14,10,4300,111,16,13,80,-4
M/AM (C),33.817932922655714,17,10,14,0,0.0,13,12,13,12,5,3500,102,8,12,80,-6
M (C),33.152635181382614,12,12,11,197,6.85,8,10,11,10,5,2500,87,27,6,80,-7
"D (RL), WB (R)",34.02874743326489,15,13,12,3139,6.81,11,11,15,12,13,1600,100,4,5,80,-8
GK,32.00547570157426,17,17,16,3630,6.82,12,16,15,14,4,4100,107,23,8,80,0
D/WB (L),33.31143052703628,10,10,9,103,6.67,11,12,11,17,4,3300,102,8,10,80,-11
"AM (C), ST (C)",32.84873374401095,13,16,12,3016,6.91,13,16,13,11,7,2100,105,7,6,80,-5
AM (RL),33.267624914442166,13,12,14,1304,6.93,12,8,9,12,14,4050,101,34,8,80,-11
"DM, M (C)",33.20191649555099,16,14,13,3159,6.67,10,15,12,12,12,4450,115,10,13,120,-5
D/WB/M (L),33.30321697467488,12,14,11,2877,6.95,11,11,13,16,5,3250,100,10,6,80,-9
GK,33.319644079397676,16,13,13,3486,7.01,12,12,13,12,6,5000,137,6,20,173,-6
"AM (L), ST (C)",32.14236824093087,11,11,8,713,6.61,11,9,11,10,11,3550,99,16,6,80,-6
GK,33.11430527036276,11,12,11,180,6.3,14,11,14,11,5,3800,106,14,10,120,-5
D (C),31.247091033538673,15,16,12,965,6.75,15,17,14,10,8,4000,100,30,5,80,0
ST (C),31.326488706365502,18,14,14,62,6.75,11,12,14,9,8,3750,99,22,13,80,0
"D (LC), WB (L)",32.813141683778234,16,12,12,3004,6.68,10,12,9,15,13,3200,95,25,8,80,-7
"D (RC), WB (R)",33.007529089664615,12,8,12,1547,6.67,13,5,13,13,13,4900,114,16,11,120,-11
ST (C),33.399041752224505,11,18,18,101,6.55,16,13,14,13,14,5500,128,11,14,173,-9
GK,31.72347707049966,12,12,9,180,6.25,15,14,15,12,5,2600,95,13,5,80,0
ST (C),34.34633812457221,8,15,14,54,7.3,11,10,12,12,13,1900,95,9,7,80,-11
"AM (LC), ST (C)",31.906913073237508,14,13,13,612,6.95,12,11,12,15,4,1800,93,17,7,80,-4
"D (RC), WB (R)",31.1129363449692,12,12,12,2654,6.94,10,14,13,10,5,3200,107,5,5,80,-2
GK,29.94113620807666,15,14,15,3600,6.77,11,13,13,12,4,3500,116,6,12,120,1
GK,32.459958932238195,8,14,13,0,0.0,7,14,12,16,8,1750,97,8,13,173,-3
D (C),31.249828884325805,11,12,14,299,7.14,12,10,12,11,6,3000,101,3,13,80,-3
"AM (C), ST (C)",31.78097193702943,14,10,4,2221,6.74,10,12,12,8,10,3500,100,25,5,80,-11
AM (LC),32.766598220396986,14,14,18,1996,6.67,10,10,10,12,2,2600,96,14,8,80,-5
"D (C), DM",33.26488706365503,12,12,12,18,0.0,11,12,13,10,10,4500,113,22,17,120,-5
"DM, M/AM (C)",34.17932922655715,10,11,13,660,6.73,12,12,12,16,11,2600,90,20,6,80,-11
"D (LC), WB (L)",31.23066392881588,14,14,8,3230,6.68,12,12,13,12,8,2650,89,30,5,80,0
GK,32.988364134154686,15,15,13,3450,6.98,10,14,13,14,8,4400,104,10,13,80,-2
"AM (RL), ST (C)",31.685147159479808,17,17,12,3008,6.81,13,11,13,13,10,2600,105,15,7,80,-5
D (C),32.04654346338125,8,13,10,2962,6.84,11,12,11,14,13,2500,99,14,12,80,-7
"AM (C), ST (C)",32.01916495550992,15,12,11,1123,6.87,15,11,13,8,6,4000,117,13,11,120,-7
"M (C), AM (RLC)",31.603011635865844,12,12,12,3346,6.89,13,8,14,6,9,4450,122,4,8,120,-3
D/WB (L),30.833675564681723,17,13,14,3542,7.01,14,12,13,10,8,5550,141,9,20,173,0
GK,32.153319644079396,7,13,14,0,0.0,13,12,14,12,4,4750,121,14,18,173,-1
"AM (R), ST (C)",30.757015742642025,13,14,15,2649,6.86,11,11,14,14,4,2350,94,29,6,80,0
D (C),35.04996577686516,14,14,12,4,0.0,15,10,14,14,8,3350,107,8,14,120,-10
ST (C),31.301848049281315,18,13,11,0,0.0,11,11,10,10,14,3450,100,20,7,120,-1
D (LC),31.718001368925393,15,16,13,535,6.59,14,12,15,12,10,5000,108,19,12,120,-5
"D (RC), WB (R)",33.40451745379877,15,17,15,25,6.7,13,13,13,12,7,5000,114,15,10,173,-4
D (C),32.39972621492129,12,14,11,61,6.65,12,8,13,13,6,1400,94,4,6,80,-7
GK,30.444900752908968,12,11,12,0,0.0,11,10,10,12,5,2250,88,12,6,80,-1
D/WB/M (L),30.272416153319643,13,13,12,2437,6.94,13,15,14,12,15,6700,142,11,18,173,-4
"DM, M (C)",32.4435318275154,12,12,11,678,6.79,12,7,12,11,10,2450,96,12,5,80,-10
D/WB/M (L),33.16632443531827,13,13,10,3199,6.71,12,13,12,11,4,3250,114,7,12,120,-8
"WB/M (L), AM (LC), ST (C)",30.680355920602327,13,14,12,3720,6.75,11,9,12,10,15,5750,144,8,18,173,-5
"DM, M (C)",31.534565366187543,17,15,15,949,6.91,15,13,15,11,8,6750,149,16,19,185,0
ST (C),31.638603696098563,15,12,10,2280,6.86,13,11,11,9,14,5000,117,19,7,120,-8
"DM, M (C)",31.266255989048595,16,16,12,1015,6.89,13,12,12,16,18,5050,118,22,12,173,-2
D/WB (RL),30.699520876112253,20,12,13,756,6.68,10,11,14,13,19,5750,125,20,18,173,-3
M/AM (C),31.5564681724846,12,11,10,2552,6.95,11,10,13,11,7,2300,97,18,8,80,-7
GK,31.73990417522245,16,14,14,3510,6.73,9,10,10,12,8,2750,93,29,10,80,-1
